Date,Open,High,Low,Close,Adj Close,Volume
2020-03-15 10:07:30.179223,1826.7791545815248,1840.0765136927516,1823.5912432534199,1826.4484540074247,1817.3936547672615,382324
2020-03-16 10:07:30.179223,1802.9225840759104,1818.1857260450397,1794.4132606701453,1794.3176367497717,1805.9424117856315,171054
2020-03-17 10:07:30.179223,1813.623170270308,1826.2276481624608,1813.2463397429638,1810.6031984305564,1828.2965580414395,582873
2020-03-18 10:07:30.179223,1822.6120759029673,1834.5399691470784,1809.861422597646,1821.5024155727795,1815.9851081172487,123289
2020-03-19 10:07:30.179223,1829.0194868925794,1836.4021929955586,1816.9028390871392,1815.0638737483569,1837.1561384536046,134479
2020-03-20 10:07:30.179223,1840.02920051413,1845.5874927993168,1837.6290812648995,1846.4378449695027,1849.0432882807027,108393
2020-03-21 10:07:30.179223,1827.3437661781782,1838.3608344365175,1824.174059668181,1823.5811599306357,1831.9395135480265,443000
2020-03-22 10:07:30.179223,1822.58817890232,1836.138752572628,1817.921406680274,1822.942616933264,1812.5843615333872,507868
2020-03-23 10:07:30.179223,1813.5272299565702,1816.3502324054618,1809.1483806772367,1807.5575480041446,1823.2428995478704,522824
2020-03-24 10:07:30.179223,1832.7305363837602,1836.9323607552633,1823.1342276251737,1851.2900033899637,1829.7124754088088,115837
2020-03-25 10:07:30.179223,1856.2578591160586,1873.0747624989199,1850.424172583793,1849.3469685427185,1869.5555214593783,514505
2020-03-26 10:07:30.179223,1846.359115923363,1852.2269405026343,1837.1232531590729,1845.3143409953443,1840.2484533047136,943104
2020-03-27 10:07:30.179223,1848.2926308363637,1850.4316263663195,1832.6707581551648,1847.6781487875767,1841.2285080370298,131341
2020-03-28 10:07:30.179223,1832.7551484788544,1838.6611864539573,1820.3841008052611,1835.1899378447065,1855.3393317608018,888761
2020-03-29 10:07:30.179223,1823.6807707125854,1832.1974708786142,1809.4679971734527,1825.4548160577092,1799.682244326756,287854
2020-03-30 10:07:30.179223,1809.0414940406142,1822.448575287946,1793.8229867176237,1808.9018959505613,1816.19419046326,722868
